Time,Name,Id,Action
0,Menu,57278,GameStarted
1,Gaze Guidance,-330732,ModulationIntensity
1,Gaze Guidance,-330732,ModulationIntensity
3.125028,Enemy(Clone),-718988,MarkedAsPOI
3.602213,Enemy(Clone),-718988,Appeared
4.1885,Enemy(Clone),-718988,Shot
4.201173,Enemy(Clone),-718988,UnmarkedAsPOI
5.461841,Enemy(Clone),-721842,MarkedAsPOI
5.943444,Enemy(Clone),-721842,Appeared
6.273941,Enemy(Clone),-721842,Shot
6.282183,Enemy(Clone),-721842,UnmarkedAsPOI
7.369518,Enemy(Clone),-724160,MarkedAsPOI
7.869299,Enemy(Clone),-724160,Appeared
8.563246,Enemy(Clone),-724160,Shot
8.567369,Enemy(Clone),-724160,UnmarkedAsPOI
9.57985,Enemy(Clone),-726828,MarkedAsPOI
10.06126,Enemy(Clone),-726828,Appeared
10.27351,Enemy(Clone),-726828,Shot
10.27761,Enemy(Clone),-726828,UnmarkedAsPOI
11.5211,Enemy(Clone),-728982,MarkedAsPOI
12.01007,Enemy(Clone),-728982,Appeared
13.34265,Enemy(Clone),-731014,MarkedAsPOI
13.82276,Enemy(Clone),-731014,Appeared
14.37432,Enemy(Clone),-731014,Shot
14.37861,Enemy(Clone),-731014,UnmarkedAsPOI
15.51973,Enemy(Clone),-733526,MarkedAsPOI
16.0075,Enemy(Clone),-733526,Appeared
17.37422,Enemy(Clone),-735584,MarkedAsPOI
17.86541,Enemy(Clone),-735584,Appeared
18.13448,Enemy(Clone),-735584,Shot
18.14167,Enemy(Clone),-735584,UnmarkedAsPOI
18.96852,Enemy(Clone),-737536,MarkedAsPOI
19.46071,Enemy(Clone),-737536,Appeared
21.23475,Enemy(Clone),-740100,MarkedAsPOI
21.72362,Enemy(Clone),-740100,Appeared
22.14679,Enemy(Clone),-740100,Shot
22.15104,Enemy(Clone),-740100,UnmarkedAsPOI
23.23536,Enemy(Clone),-742422,MarkedAsPOI
23.72093,Enemy(Clone),-742422,Appeared
24.31268,Enemy(Clone),-742422,Shot
24.32036,Enemy(Clone),-742422,UnmarkedAsPOI
25.30804,Enemy(Clone),-744782,MarkedAsPOI
25.43682,Data Recorder,57124,GameExited
